conceptid,Value,ValueType,Provider
GRAVE_MEASUREMENT_TYPE:1,1,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:2,2,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:3,3,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:4-1,4,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:4-2,5,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:5,6,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:6,7,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:7,8,sortorder,GCI
GRAVE_MEASUREMENT_TYPE:1,Število,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:2,Dolžina groba,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:3,Širina groba,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:4-1,Globina groba od,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:4-2,Globina groba do,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:5,Odklon od severa,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:6,Dolžina krste,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:7,Širina krste,label:sl,GCI
GRAVE_MEASUREMENT_TYPE:1,Nummer,label:de,GCI
GRAVE_MEASUREMENT_TYPE:2,Grablänge,label:de,GCI
GRAVE_MEASUREMENT_TYPE:3,Grabbreite,label:de,GCI
GRAVE_MEASUREMENT_TYPE:4-1,Grabtiefe,label:de,GCI
GRAVE_MEASUREMENT_TYPE:4-2,Grabtiefe,label:de,GCI
GRAVE_MEASUREMENT_TYPE:5,Orientierung,label:de,GCI
GRAVE_MEASUREMENT_TYPE:6,Sarglänge,label:de,GCI
GRAVE_MEASUREMENT_TYPE:7,Sargbreite,label:de,GCI

