conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MAT:SN010,"rock",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN011,"glass",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN012,"iron",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN013,"bone, antler",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN014,"bronze, brass",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN015,"silver",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN016,"gold",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN017,"copper",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN018,"lead",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN019,"clay",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN020,"unknown",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN021,"amber",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN022,"fabric, thread",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN023,"wood",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN024,"leather",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN025,"seashell fabric",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN026,"enamel",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
MAT:SN027,"semi-. precious stone",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,EH
