conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
OFT:J,"bead",,OBJECT_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
OFT:JDO01,"secondary used as a pendant",,OFT:J,Index,EH
OFT:JBA,"bead colour",,OFT:J,Index,EH
OFT:JBA01,"white, grey",,OFT:JBA,Index,EH
OFT:JBA02,"black",,OFT:JBA,Index,EH
OFT:JBA03,"red, brown",,OFT:JBA,Index,EH
OFT:JBA04,"yellow",,OFT:JBA,Index,EH
OFT:JBA05,"green",,OFT:JBA,Index,EH
OFT:JBA06,"blue",,OFT:JBA,Index,EH
OFT:JBA07,"orange",,OFT:JBA,Index,EH
OFT:JBA08,"colourless",,OFT:JBA,Index,EH
OFT:JBA09,"greenish transparent",,OFT:JBA,Index,EH
OFT:JBA10,"yellowish-brownish transparent",,OFT:JBA,Index,EH
OFT:JBA11,"bluish transparent",,OFT:JBA,Index,EH
OFT:JBA12,"other colour",,OFT:JBA,Index,EH
OFT:JBA13,"bluish green",,OFT:JBA,Index,EH
OFT:JOK,"decoration",,OFT:J,Index,EH
OFT:JOK01,"indeterminable decoration",,OFT:JOK,Index,EH
OFT:JOK02,"extruded decoration",,OFT:JOK,Index,EH
OFT:JOK03,"flat decoration",,OFT:JOK,Index,EH
OFT:JOK04,"wavy line",,OFT:JOK,Index,EH
OFT:JOK05,"wavy lines",,OFT:JOK,Index,EH
OFT:JOK06,"loop decoration",,OFT:JOK,Index,EH
OFT:JOK07,"dots etc.",,OFT:JOK,Index,EH
OFT:JOK08,"unsorted dots",,OFT:JOK,Index,EH
OFT:JOK09,"sorted dots",,OFT:JOK,Index,EH
OFT:JOK10,"concentric eyes",,OFT:JOK,Index,EH
OFT:JOK11,"millefiori pattern",,OFT:JOK,Index,EH
OFT:JOK12,"veil",,OFT:JOK,Index,EH
OFT:JOK13,"cover",,OFT:JOK,Index,EH
OFT:JOK14,"silver foil",,OFT:JOK,Index,EH
OFT:JOK15,"golden foil",,OFT:JOK,Index,EH
OFT:JOK16,"stripe, straight",,OFT:JOK,Index,EH
OFT:JOK17,"stripe, spiral",,OFT:JOK,Index,EH
OFT:JOK18,"stripe, wavy",,OFT:JOK,Index,EH
OFT:JOK19,"other decoration",,OFT:JOK,Index,EH
OFT:JOK20,"multicolour decoration",,OFT:JOK,Index,EH
OFT:JOK21,"white monochrome decoration",,OFT:JOK,Index,EH
OFT:JOK22,"green monochrome decoration",,OFT:JOK,Index,EH
OFT:JOK23,"red monochrome decoration",,OFT:JOK,Index,EH
OFT:JOK24,"blue monochrome decoration",,OFT:JOK,Index,EH
OFT:JOK25,"yellow monochrome decoration",,OFT:JOK,Index,EH
OFT:JOK26,"black monochrome decoration",,OFT:JOK,Index,EH
OFT:JOK27,"no decoration",,OFT:JOK,Index,EH
OFT:JSS,"glass",,OFT:J,Index,EH
OFT:JSS01,"non-translucent glass",,OFT:JSS,Index,EH
OFT:JSS02,"translucent glass",,OFT:JSS,Index,EH
OFT:JSS03,"transparent glass",,OFT:JSS,Index,EH
OFT:JSS04,"glass with small bubbles",,OFT:JSS,Index,EH
OFT:JSS05,"glass with threads",,OFT:JSS,Index,EH
OFT:JSS06,"other glass",,OFT:JSS,Index,EH
OFT:JOP,"cross section",,OFT:J,Index,EH
OFT:JOP01,"cross section: round",,OFT:JOP,Index,EH
OFT:JOP02,"cross section: hollow",,OFT:JOP,Index,EH
OFT:JOP03,"cross section: multipart",,OFT:JOP,Index,EH
OFT:JOP04,"cross section: flat",,OFT:JOP,Index,EH
OFT:JOP05,"cross section: rhombic",,OFT:JOP,Index,EH
OFT:JOP06,"cross section: quadrangle",,OFT:JOP,Index,EH
OFT:JOP07,"cross section: hexagonal",,OFT:JOP,Index,EH
OFT:JOP08,"cross section: ribbed",,OFT:JOP,Index,EH
OFT:JOP09,"other profile",,OFT:JOP,Index,EH
OFT:JOS,"shape",,OFT:J,Index,EH
OFT:JOS01,"coil-shaped",,OFT:JOS,Index,EH
OFT:JOS02,"roll-shaped",,OFT:JOS,Index,EH
OFT:JOS03,"globular-shaped",,OFT:JOS,Index,EH
OFT:JOS04,"prong-shaped",,OFT:JOS,Index,EH
OFT:JOS05,"biconical",,OFT:JOS,Index,EH
OFT:JOS06,"polyedric-shaped",,OFT:JOS,Index,EH
OFT:JOS07,"prism-shaped",,OFT:JOS,Index,EH
OFT:JOS08,"poppy-seed-shaped",,OFT:JOS,Index,EH
OFT:JOS09,"cylinder-shaped",,OFT:JOS,Index,EH
OFT:JOS10,"spiral-shaped",,OFT:JOS,Index,EH
OFT:JOS11,"almond-shaped",,OFT:JOS,Index,EH
OFT:JOS12,"oblong-cylinder-shaped",,OFT:JOS,Index,EH
OFT:JOS13,"other shape",,OFT:JOS,Index,EH
OFT:JOS14,"spindle-shaped",,OFT:JOS,Index,EH
OFT:LG,"position in the grave",,OBJECT_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
OFT:LG001,"centre-back of the head",,OFT:LG,Index,EH
OFT:LG002,"centre-front of the feet",,OFT:LG,Index,EH
OFT:LG003,"left-back of the head",,OFT:LG,Index,EH
OFT:LG004,"right-back of the head",,OFT:LG,Index,EH
OFT:LG005,"right-center of the feet",,OFT:LG,Index,EH
OFT:LG006,"left-center of the feet",,OFT:LG,Index,EH
OFT:LG007,"right side of the head",,OFT:LG,Index,EH
OFT:LG008,"left side of the head",,OFT:LG,Index,EH
OFT:LG009,"head",,OFT:LG,Index,EH
OFT:LG010,"right side of the neck",,OFT:LG,Index,EH
OFT:LG011,"left side of the neck",,OFT:LG,Index,EH
OFT:LG012,"neck",,OFT:LG,Index,EH
OFT:LG013,"right shoulder",,OFT:LG,Index,EH
OFT:LG014,"left shoulder",,OFT:LG,Index,EH
OFT:LG015,"right side of the right shoulder",,OFT:LG,Index,EH
OFT:LG016,"left side of the left shoulder",,OFT:LG,Index,EH
OFT:LG017,"right side of the right upper arm",,OFT:LG,Index,EH
OFT:LG018,"left side of the left upper arm",,OFT:LG,Index,EH
OFT:LG019,"right upper arm",,OFT:LG,Index,EH
OFT:LG020,"left upper arm",,OFT:LG,Index,EH
OFT:LG021,"chest",,OFT:LG,Index,EH
