conceptid,Value,ValueType,Provider
OFT:J,"jagoda",label:sl,GCI
OFT:J,"Perle",label:de,GCI
OFT:JDO01,"drugotno uporabljeno za obesek",label:sl,GCI
OFT:JDO01,"Objekte in sekundärer Verwendung für Anhänger",label:de,GCI
OFT:JBA,"barva",label:sl,GCI
OFT:JBA,"Perlenfarbe",label:de,GCI
OFT:JBA01,"bela, siva",label:sl,GCI
OFT:JBA01,"weiss-grau",label:de,GCI
OFT:JBA02,"črna",label:sl,GCI
OFT:JBA02,"schwarz",label:de,GCI
OFT:JBA03,"rdeča, rjava",label:sl,GCI
OFT:JBA03,"rot-braun",label:de,GCI
OFT:JBA04,"rumena",label:sl,GCI
OFT:JBA04,"gelb",label:de,GCI
OFT:JBA05,"zelena",label:sl,GCI
OFT:JBA05,"grün",label:de,GCI
OFT:JBA06,"modra",label:sl,GCI
OFT:JBA06,"blau",label:de,GCI
OFT:JBA07,"oranžna",label:sl,GCI
OFT:JBA07,"orange",label:de,GCI
OFT:JBA08,"brezbarvna",label:sl,GCI
OFT:JBA08,"farblos",label:de,GCI
OFT:JBA09,"zelenkasto-prozorna",label:sl,GCI
OFT:JBA09,"grünlich-transluzid",label:de,GCI
OFT:JBA10,"rumenkasto, rjavkasto-prozorna",label:sl,GCI
OFT:JBA10,"honigfarben-transluzid",label:de,GCI
OFT:JBA11,"modrikasto prozorna",label:sl,GCI
OFT:JBA11,"bläulich-durchscheinend",label:de,GCI
OFT:JBA12,"drugačna barva",label:sl,GCI
OFT:JBA12,"andere Farben",label:de,GCI
OFT:JBA13,"modro zelena",label:sl,GCI
OFT:JBA13,"blau-grün",label:de,GCI
OFT:JOK,"okras",label:sl,GCI
OFT:JOK,"Verzierung",label:de,GCI
OFT:JOK01,"nedoločljiv okras",label:sl,GCI
OFT:JOK01,"unbestimmbare Verzirungsreste",label:de,GCI
OFT:JOK02,"izbočeno dodan okras",label:sl,GCI
OFT:JOK02,"plastische Verzierung",label:de,GCI
OFT:JOK03,"plosk okras",label:sl,GCI
OFT:JOK03,"glatt eingearbeitete Verzierung",label:de,GCI
OFT:JOK04,"ena valovnica",label:sl,GCI
OFT:JOK04,"Wellenlinie",label:de,GCI
OFT:JOK05,"več valovnic",label:sl,GCI
OFT:JOK05,"Wellenlinien",label:de,GCI
OFT:JOK06,"osmičast okras",label:sl,GCI
OFT:JOK06,"Achtermuster",label:de,GCI
OFT:JOK07,"pike in še drugo",label:sl,GCI
OFT:JOK07,"Punkte und Sonstiges",label:de,GCI
OFT:JOK08,"nametane pike",label:sl,GCI
OFT:JOK08,"unsymmetrisches Punktmuster",label:de,GCI
OFT:JOK09,"urejene pike",label:sl,GCI
OFT:JOK09,"symmetrisches Punktmuster",label:de,GCI
OFT:JOK10,"očesa, koncentrični okras",label:sl,GCI
OFT:JOK10,"konzentrische Augen",label:de,GCI
OFT:JOK11,"cvetovi, lističi",label:sl,GCI
OFT:JOK11,"Millefiorimuster",label:de,GCI
OFT:JOK12,"tančice",label:sl,GCI
OFT:JOK12,"Schlieren",label:de,GCI
OFT:JOK13,"prevleka",label:sl,GCI
OFT:JOK13,"Überzug",label:de,GCI
OFT:JOK14,"srebrna folija",label:sl,GCI
OFT:JOK14,"Silberfolie",label:de,GCI
