conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
OBJECT_MEASUREMENT_TYPE:1,Length,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:2,Width,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:3,Thickness,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:4,Knife length,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:5,Tang length,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:6,Blade length,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:7,Blade width,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:8,Longest bead,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:9,Shortest bead,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:10,Widest bead,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:11,Narrower bead,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:12,No. of elements,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:13,No. of beads in group,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:14,Rim diameter outside,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:15,Botton diameter outside,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:16,Body diameter outside,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:17,Rim diameter inside,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:18,Height outside,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:19,Height of the widest part,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:20,Height of the narrowest part of the neck (from botton),,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:21,Body thickness,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:22,Potters comb width,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJECT_MEASUREMENT_TYPE:23,No. of potters comb teeth,,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH

