conceptid,Value,ValueType,Provider
OBJECT_MEASUREMENT_TYPE:1,01,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:2,02,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:3,03,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:4,04,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:5,05,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:6,06,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:7,07,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:8,08,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:9,09,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:10,10,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:11,11,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:12,12,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:13,13,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:14,14,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:15,15,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:16,16,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:17,17,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:18,18,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:19,19,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:20,20,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:21,21,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:22,22,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:23,23,sortorder,GCI
OBJECT_MEASUREMENT_TYPE:1,Dolžina predmeta,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:2,Širina predmeta,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:3,Debelina predmeta,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:4,Dolžina celega noža,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:5,Dolžina trna,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:6,Dolžina rezila,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:7,Širina rezila,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:8,Najdaljša jagoda,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:9,Najkrajša jagoda,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:10,Najdebelejša jagoda,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:11,Najožja jagoda,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:12,Število členov večkratne jagode,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:13,Število jagod v skupini,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:14,Zunanji premer ustja,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:15,Zunanji premer dna,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:16,Zunanji premer trebuha,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:17,Notranji premer ustja,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:18,Zunanja višina,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:19,Višina največje razširitve,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:20,Višina najožjega dela vratu od dna,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:21,Debelina ostenja,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:22,Širina lončarskega glavnika,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:23,Število zob ločarskega glavnika,label:sl,GCI
OBJECT_MEASUREMENT_TYPE:1,Länge,label:de,GCI
OBJECT_MEASUREMENT_TYPE:2,Breite,label:de,GCI
OBJECT_MEASUREMENT_TYPE:3,Dicke,label:de,GCI
OBJECT_MEASUREMENT_TYPE:4,Länge,label:de,GCI
OBJECT_MEASUREMENT_TYPE:5,Dornlänge,label:de,GCI
OBJECT_MEASUREMENT_TYPE:6,Klingenlänge,label:de,GCI
OBJECT_MEASUREMENT_TYPE:7,Klingenbreite,label:de,GCI
OBJECT_MEASUREMENT_TYPE:8,Längste,label:de,GCI
OBJECT_MEASUREMENT_TYPE:9,Kürzeste,label:de,GCI
OBJECT_MEASUREMENT_TYPE:10,Dickste,label:de,GCI
OBJECT_MEASUREMENT_TYPE:11,Schmalste,label:de,GCI
OBJECT_MEASUREMENT_TYPE:12,Segmentzahl,label:de,GCI
OBJECT_MEASUREMENT_TYPE:13,Zahl in der Gruppe,label:de,GCI
OBJECT_MEASUREMENT_TYPE:14,Randdurchmesser,label:de,GCI
OBJECT_MEASUREMENT_TYPE:15,Bodendurchmesser,label:de,GCI
OBJECT_MEASUREMENT_TYPE:16,Schulter/Bauch Durchmesser,label:de,GCI
OBJECT_MEASUREMENT_TYPE:17,Hals Innendurchmesser,label:de,GCI
OBJECT_MEASUREMENT_TYPE:18,Höhe,label:de,GCI
OBJECT_MEASUREMENT_TYPE:19,Schulter/Bauchhöhe,label:de,GCI
OBJECT_MEASUREMENT_TYPE:20,Halshöhe,label:de,GCI
OBJECT_MEASUREMENT_TYPE:21,Wandstärke,label:de,GCI
OBJECT_MEASUREMENT_TYPE:22,Breite des Verzierungsgeräts,label:de,GCI
OBJECT_MEASUREMENT_TYPE:23,Zahl der Zähne,label:de,GCI


