conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
OBJ:VP100,"knife",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP101,"axe",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP102,"kitchenware",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP103,"sword",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP104,"arrow",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP105,"strike-a-light",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP106,"music instrument",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP107,"cult artefact",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP108,"earring, circular pendant",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP109,"necklace",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP110,"comb",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP111,"needle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP112,"broche",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP113,"buckle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP114,"belt shackle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP115,"belt ending",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP116,"ring",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP117,"bracelet",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP119,"spur",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP120,"stirrup",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP121,"unknown",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP122,"quern",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP123,"agricultural tools (how, plough share ...)",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP124,"spindle whorl",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP125,"ceramic coil",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP126,"weight",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP127,"nail",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP128,"grinder",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP129,"razor",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP130,"drill",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP131,"awl",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP132,"sowing needle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP133,"collar",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP134,"bridle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP135,"saddle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP136,"sax",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP137,"shield or parts of",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP138,"helmet",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP139,"armour",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP140,"bead",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP141,"necklace pendant",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP142,"sickle",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP143,"button",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP144,"flint",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP145,"lance, spear",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP146,"food",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP147,"money, coin",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP148,"various tools",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP149,"rivet",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP150,"ring",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP151,"Riemenschlaufen",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP152,"tweezers",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP153,"chain link",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
OBJ:VP154,"plaster",,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
