conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RESOURCE_CLASSIFICATION:1,Finds,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:2,Church,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:3,Road,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:4,Workshop,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:5,Castle,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:6,Graveyard,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:7,Pit,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:8,"Story, Narrative",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:9,Settlement,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:10,"Settlement, Church",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:11,"Settlement, Church, Graveyard",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:12,"Settlement, Graveyard",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:13,Undefined,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:14,Entrenchment,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:15,Separate find,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:16,Monastery,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:17,Sanctuary,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:18,Fortification,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:19,Hoard,,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:20,"Church, Graveyard",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:21,"Church, Monastery",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:22,"Church, Graveyard, Monastery",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:23,"Fortification, Graveyard",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:24,"Church, Fortification",,RESOURCE_CLASSIFICATION:1,Index,SurveyLA
RESOURCE_CLASSIFICATION:100,Graves,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:101,"Pridatki, pod okostjem deska, okostni",,RESOURCE_CLASSIFICATION:100,Index,SurveyLA
RESOURCE_CLASSIFICATION:102,"Pridatki, okostni",,RESOURCE_CLASSIFICATION:100,Index,SurveyLA
RESOURCE_CLASSIFICATION:103,"Pridatki, krsta, okostni",,RESOURCE_CLASSIFICATION:100,Index,SurveyLA
RESOURCE_CLASSIFICATION:104,"Pravokotna jama; deska pod okostjem, deska nad okostjem, pridatki, okostni",,RESOURCE_CLASSIFICATION:100,Index,SurveyLA
RESOURCE_CLASSIFICATION:105,Okostni,,RESOURCE_CLASSIFICATION:100,Index,SurveyLA
RESOURCE_CLASSIFICATION:106,"Deska pod okostjem, pridatki, okostni",,RESOURCE_CLASSIFICATION:100,Index,SurveyLA
RESOURCE_CLASSIFICATION:200,Objects,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:201,Tkanina,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:202,"Svetinjica, devocionalija",,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:203,Prstan,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:204,Pasna spona,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:205,Obuvalo,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:206,Nož,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:207,Naglavni obroček,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:208,"Križec, devocionalija",,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
RESOURCE_CLASSIFICATION:209,Ključ,,RESOURCE_CLASSIFICATION:200,Index,SurveyLA
