conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
SFT:,"",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:SCER,"church",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:KCES,"road",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:PGOR,"maountain, hill",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:BGRA,"castle",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:SGRO,"cemetery",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:SGRO02,"barrow cemetery",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:SGRO01,"flat graveyard",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:PJAM,"pit",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:NLPR,"story, narrative",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:KMBR,"bridge, ford",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:BNAS,"settlement",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:CPON,"stray find",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:BOKO,"entrenchment",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:PRAV,"plane",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:BSAM,"monastery",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:SSVT,"sanctuary",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:BUTR,"fortificationS",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:PVMO,"water, marsh",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
SFT:CZAK,"hoard",,SITE_FEATURE_AUTHORITY_DOCUMENT.csv,Index,EH
