conceptid,Value,ValueType,Provider
UNIT_OF_MEASUREMENT:1,mm,label:sl,GCI
UNIT_OF_MEASUREMENT:2,cm,label:sl,GCI
UNIT_OF_MEASUREMENT:3,m,label:sl,GCI
UNIT_OF_MEASUREMENT:4,g,label:sl,GCI
UNIT_OF_MEASUREMENT:5,kg,label:sl,GCI
UNIT_OF_MEASUREMENT:6,°,label:sl,GCI
UNIT_OF_MEASUREMENT:7,"-",label:sl,GCI
UNIT_OF_MEASUREMENT:1,mm,label:de,GCI
UNIT_OF_MEASUREMENT:2,cm,label:de,GCI
UNIT_OF_MEASUREMENT:3,m,label:de,GCI
UNIT_OF_MEASUREMENT:4,g,label:de,GCI
UNIT_OF_MEASUREMENT:5,kg,label:de,GCI
UNIT_OF_MEASUREMENT:6,°,label:de,GCI
UNIT_OF_MEASUREMENT:7,"-",label:de,GCI

