Id,Label,mergenode,businesstable
3,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
5,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
8,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
11,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
17,SITE_NAME.E41,GRAVE.E18,strings
18,UNIT_OF_MEASUREMENT.E55,GRAVE.E18,domains
21,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
28,VALUE_OF_MEASUREMENT.E60,GRAVE.E18,numbers
31,PLACE_ADDRESS.E45,PLACE.E53,strings
36,GRAVE_MEASUREMENT_TYPE.E55,GRAVE.E18,domains
44,PLACE_SITE_LOCATION.E53,PLACE.E53,
54,GRAVE_CODE.E42,GRAVE.E18,strings
63,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
69,GRAVE.E18,GRAVE.E18,
71,PLACE.E53,GRAVE.E18,
105,GRAVE_DESCRIPTION.E62,GRAVE.E18,strings
140,ADDRESS_TYPE.E55,PLACE.E53,domains
141,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
154,BEGINNING_OF_EXISTENCE.E63,GRAVE.E18,
155,END_OF_EXISTENCE.E64,GRAVE.E18,
156,BEGINNING_OF_EXISTENCE_TYPE.E55,GRAVE.E18,domains
157,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
158,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,GRAVE.E18,
159,START_DATE_OF_EXISTENCE.E49,GRAVE.E18,dates
160,END_OF_EXISTENCE_TYPE.E55,GRAVE.E18,domains
161,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
162,END_OF_EXISTENCE_TIME-SPAN.E52,GRAVE.E18,
165,END_DATE_OF_EXISTENCE.E49,GRAVE.E18,dates
174,SETTLEMENT.E48,PLACE.E53,strings
176,OTHER_NAME.E48,PLACE.E53,strings
177,TOPOGRAPHICAL_AREA.E48,PLACE.E53,strings
178,REGION.E55,PLACE.E53,domains
179,COUNTRY.E55,PLACE.E53,domains
181,TOPOGRAPHICAL_UNIT.E48,PLACE.E53,strings
182,REGION_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
183,COUNTRY_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
184,BODY.E21,GRAVE.E18,
185,BODY_CODE.E42,GRAVE.E18,strings
187,AGE_MIN.E16,GRAVE.E18,strings
188,AGE_MAX.E16,GRAVE.E18,strings
189,BODY_FEATURE.E55,GRAVE.E18,domains
190,BODY_FEATURE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
194,HERITAGE_RESOURCE_TYPE.E55,GRAVE.E18,domains
195,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
196,NAME_TYPE.E55,GRAVE.E18,domains
197,NAME_TYPE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
198,SITE_CODE.E42,GRAVE.E18,strings
199,GRAVE_FEATURE.E55,GRAVE.E18,domains
200,GRAVE_FEATURE_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
202,BODY_DESCRIPTION.E62,GRAVE.E18,strings
203,GRAVE_FEATURE_LEVEL2.E55,GRAVE.E18,domains
204,GRAVE_FEATURE_LEVEL2_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
205,BODY_FEATURE_LEVEL2.E55,GRAVE.E18,domains
206,BODY_FEATURE_LEVEL2_AUTHORITY_DOCUMENT.E32,GRAVE.E18,strings
