Id,Label,mergenode,businesstable
3,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
5,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
8,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
11,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
17,SITE_NAME.E41,OBJECT.E18,strings
18,UNIT_OF_MEASUREMENT.E55,OBJECT.E18,domains
21,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
28,VALUE_OF_MEASUREMENT.E60,OBJECT.E18,numbers
31,PLACE_ADDRESS.E45,PLACE.E53,strings
36,OBJECT_MEASUREMENT_TYPE.E55,OBJECT.E18,domains
44,PLACE_SITE_LOCATION.E53,PLACE.E53,
54,GRAVE_CODE.E42,OBJECT.E18,strings
63,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
69,OBJECT.E18,OBJECT.E18,
71,PLACE.E53,OBJECT.E18,
105,OBJECT_DESCRIPTION.E62,OBJECT.E18,strings
106,OBJECT_TYPE.E55,OBJECT.E18,domains
107,OBJECT_TYPE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
140,ADDRESS_TYPE.E55,PLACE.E53,domains
141,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
154,BEGINNING_OF_EXISTENCE.E63,OBJECT.E18,
155,END_OF_EXISTENCE.E64,OBJECT.E18,
156,BEGINNING_OF_EXISTENCE_TYPE.E55,OBJECT.E18,domains
157,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
158,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,OBJECT.E18,
159,START_DATE_OF_EXISTENCE.E49,OBJECT.E18,dates
160,END_OF_EXISTENCE_TYPE.E55,OBJECT.E18,domains
161,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
162,END_OF_EXISTENCE_TIME-SPAN.E52,OBJECT.E18,
165,END_DATE_OF_EXISTENCE.E49,OBJECT.E18,dates
174,SETTLEMENT.E48,PLACE.E53,strings
176,OTHER_NAME.E48,PLACE.E53,strings
177,TOPOGRAPHICAL_AREA.E48,PLACE.E53,strings
178,REGION.E55,PLACE.E53,domains
179,COUNTRY.E55,PLACE.E53,domains
181,TOPOGRAPHICAL_UNIT.E48,PLACE.E53,strings
182,REGION_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
183,COUNTRY_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
191,MATERIAL.E57,OBJECT.E18,domains
192,MATERIAL_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
194,HERITAGE_RESOURCE_TYPE.E55,OBJECT.E18,domains
195,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
196,NAME_TYPE.E55,OBJECT.E18,domains
197,NAME_TYPE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
198,SITE_CODE.E42,OBJECT.E18,strings
203,GRAVE_SE.E62,OBJECT.E18,strings
204,OBJECT_CODE.E42,OBJECT.E18,strings
205,OBJECT_FEATURE.E55,OBJECT.E18,domains
206,OBJECT_FEATURE_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
207,OBJECT_FEATURE_LEVEL1.E55,OBJECT.E18,domains
208,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.E32,OBJECT.E18,strings
209,OBJECT_FEATURE_LEVEL2.E55,OBJECT.E18,domains
210,OBJECT_FEATURE_LEVEL2_AUTHORITY_DOCUMENT.E32,OBJECT..E18,strings
