Id,Label,mergenode,businesstable
3,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
5,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
8,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
11,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
17,SITE_NAME.E41,SITE.E18,strings
18,UNIT_OF_MEASUREMENT.E55,SITE.E18,domains
21,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
28,VALUE_OF_MEASUREMENT.E60,SITE.E18,strings
31,PLACE_ADDRESS.E45,PLACE.E53,strings
36,SITE_MEASUREMENT_TYPE.E55,SITE.E18,domains
44,PLACE_SITE_LOCATION.E53,PLACE.E53,
54,SITE_CODE.E42,SITE.E18,strings
63,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
69,SITE.E18,SITE.E18,
71,PLACE.E53,SITE.E18,
105,SITE_DESCRIPTION.E62,SITE.E18,strings
106,SITE_FEATURE.E55,SITE.E18,domains
107,SITE_FEATURE_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
140,ADDRESS_TYPE.E55,PLACE.E53,domains
141,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
154,BEGINNING_OF_EXISTENCE.E63,SITE.E18,
155,END_OF_EXISTENCE.E64,SITE.E18,
156,BEGINNING_OF_EXISTENCE_TYPE.E55,SITE.E18,domains
157,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
158,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,SITE.E18,
159,START_DATE_OF_EXISTENCE.E49,SITE.E18,dates
160,END_OF_EXISTENCE_TYPE.E55,SITE.E18,domains
161,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
162,END_OF_EXISTENCE_TIME-SPAN.E52,SITE.E18,
165,END_DATE_OF_EXISTENCE.E49,SITE.E18,dates
174,SETTLEMENT.E48,PLACE.E53,strings
176,OTHER_NAME.E48,PLACE.E53,strings
177,TOPOGRAPHICAL_AREA.E48,PLACE.E53,strings
178,REGION.E55,PLACE.E53,domains
179,COUNTRY.E55,PLACE.E53,domains
181,TOPOGRAPHICAL_UNIT.E48,PLACE.E53,strings
182,REGION_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
183,COUNTRY_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
194,HERITAGE_RESOURCE_TYPE.E55,SITE.E18,domains
195,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
196,NAME_TYPE.E55,SITE.E18,domains
197,NAME_TYPE_AUTHORITY_DOCUMENT.E32,SITE.E18,strings
198,LOCATION_ACCURACY.E55,PLACE.E53,domains
199,LOCATION_ACCURACY_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
